医療機関名,正規化住所,郵便番号,電話番号,オンライン予約用ページアドレス,相談センター等からの紹介,自院患者,濃厚接触者,小児,妊婦,区市町村,行政コード,大字,それ以降の住所,ビル名・階数・部屋番号,PCR,抗原定量,抗原定性,鼻咽頭,鼻腔,唾液,その他,月（午前）,月（午後）,火（午前）,火（午後）,水（午前）,水（午後）,木（午前）,木（午後）,金（午前）,金（午後）,土（午前）,土（午後）,日（午前）,日（午後）,対応できる外国語,診療検査日時が祝日の場合,それ以降の住所,,
とどろき駅前クリニック,,158-0082,03-5707-3808,todorokiekimae.clinic@gmail.com,,1,,,,世田谷区,13112,等々力,2003/11/5,,,,1,1,,,,11:30~12:00,17:30~18:00,,,11:30~12:00,17:30~18:00,,,11:30~12:00,17:30~18:00,,,,,基本外人非対応,,等々力３-１１-５,35.60656,139.64938
聖路加国際病院,,104-8560,03-3541-5151,https://hospital.luke.ac.jp/topinformation/covid-19_info.html#kensa,1,1,1,1,1,中央区,13102,明石町,9月1日,,,,,,,,,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,英語,,明石町9-1,35.66739,139.77722
細部小児科クリニック,,113-0031,03-6303-3162,https://hosobe-pediatrics.com/index.html,1,1,1,1,,文京区,13105,根津,2-14-11-2F,,1,,1,,1,1,,,12:00~14:00,,12:00~14:00,,12:00~14:00,,14:00~16:00,,12:00~14:00,,12:00~14:00,,,,,根津2-14-11-2F,35.71818,139.76645
医療法人社団一専会 神楽坂ホームケアクリニック,,112-0014,03-5227-7878,,1,1,,,,文京区,13105,関口一丁目,13番14号向井ビル2階,,1,,1,1,1,1,,,17:30~18:00,,17:30~18:00,,17:30~18:00,,17:30~18:00,,17:30~18:00,,,,,,,関口一丁目13番14号向井ビル2階,35.70878,139.73334
医療法人社団梢愛会やまうちクリニック,,156-0052,web予約,https://ver2.yoyakuru.net/rs/yamauchi-cl/web/,1,1,1,1,1,世田谷区,13112,経堂,"１-２２-１６サウスコート１階",,1,,,1,,,,9:00~12:00,15:30~18:30,9:00~12:00,15:30~18:30,9:00~12:00,15:30~18:30,9:00~12:00,15:30~18:30,,,,,9:00~12:30,13:00~15:00,英語（簡単な）,,"経堂１-２２-１６サウスコート１階",35.65048,139.63596
医療法人社団結樹会 リボン・クリニック,,132-0014,web予約,https://reborn-clinic.jp/pcr,1,1,1,,,江戸川区,13123,東瑞江,2-34-18 ,,1,1,,1,1,1,,10:30~12:30,14:00~16:30,10:30~12:30,14:00~16:30,,,10:30~12:30,14:00~16:30,,,,,,,,,東瑞江2-34-18 ,35.68734,139.8969
飯田橋東口内科心療内科診療所,,102-0072,web予約,https://www.iidabashi-shinryounaika.jp/,1,1,1,,,千代田区,13101,飯田橋,4-9-9第七田中ビル8F,,1,,,,,1,,,21:00~22:00,,21:00~22:00,,,,21:00~22:00,,17:00~18:00,,17:00~18:00,,,,,飯田橋4-9-9第七田中ビル8F,35.7016,139.74548
河北ファミリークリニック南阿佐谷,,166-0004,03-5356-7160,,1,1,1,1,1,杉並区,13115,阿佐谷南,1-16-8 ,ISM ASAGAYA 3F・4F・5F,1,,,1,,1,,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,,,英語,,阿佐谷南1-16-8 ISM ASAGAYA 3F・4F・5F,35.70086,139.63599
日比谷有楽町銀座駅前クリニック,,104-0061,03-5579-9400,,1,1,,1,,中央区,13102,銀座,4-3-9クイーンズハウス8階,,1,,1,1,1,1,,,,10:00~12:30,16:30~18:00,10:00~12:30,16:30~18:00,10:00~12:30,16:30~18:00,,,,,,,,,銀座4-3-9クイーンズハウス8階,35.67232,139.76451
杉本クリニック,,158-0093,03-5758-3471,,,1,,,,世田谷区,13112,上野毛,1-14-1 ,上野毛ステーションヒルズII 101,1,,1,1,,1,,9:10~11:10,15:10~17:10,9:10~11:10,15:10~17:10,9:10~11:10,15:10~17:10,,,9:10~11:10,15:10~17:10,9:10~11:10,,,,,,上野毛1-14-1 上野毛ステーションヒルズII 101,35.61206,139.63933
ワンズタワーすこやかクリニック,,189-0022,042-399-0122,,,1,,,,東村山市,13213,野口町,１-４６ ,"ワンズタワー４F-2",1,,,,,1,,11:00~11:45,,11:00~11:45,,11:00~11:45,,,,11:00~11:45,,11:00~11:45,,,,　,,"野口町１-４６ ワンズタワー４F-2",35.76027,139.46532
医療法人社団碧の会小木曽内科眼科医院,,183-0005,090-1813-5497,,,1,1,,,府中市,13206,若松町,2002/5/8,,1,,,,,1,,9:00~11:30,,9:00~11:30,,9:00~11:30,,,,,,,,,,,,若松町2-5-8,35.6688,139.50029
城田小児科医院,,135-0048,03-3641-4056,https://park.paa.jp/park2/clinics/1219/businesses/01,,1,,2,,江東区,13108,門前仲町,2001/6/9,,1,,1,1,,1,,9:00~12:00,14:00~17:00,,14:00~17:00,9:00~12:00,14:00~17:00,9:00~12:00,,9:00~12:00,14:00~17:00,9:00~12:00,14:00~16:00,,,,,門前仲町１-６-９,35.67252,139.79578
医療法人社団 真成会 野口医院,,176-0011,03-3994-5018,,,1,,,,練馬区,13120,豊玉上,1-13-6,,1,,1,1,1,1,,10:00~12:00,16:00~16:30,11:45~12:45,,10:00~12:00,16:00~16:30,10:00~12:00,16:00~16:30,10:00~12:00,,11:45~12:15,,,,,,豊玉上1-13-6,35.73575,139.67043
藤田耳鼻咽喉科,,143-0013,03-3742-4122,,,1,,,,大田区,13111,大森南,"2-5-18アストラル大森南102",,,,1,1,,,,,,,,,,,,,,,,,,,,"大森南2-5-18アストラル大森南102",35.56339,139.74521
久我山駅前メディカルクリニック,,168-0082,03-5344-9192,,1,1,1,1,1,杉並区,13115,久我山,2-28-4 ,久我山MCビル　2階、3階,1,1,,1,1,1,,9:00~13:00,14:45~21:00,9:00~13:00,13:45~17:00,,,9:00~13:00,14:45~21:00,9:00~13:00,14:45~21:00,9:00~13:00,14:45~18:00,9:00~12:00,12:00~14:00,,,久我山2-28-4 久我山MCビル　2階、3階,35.68768,139.60001
高田馬場駅前メディカルクリニック,,169-0075,web予約,tmclinic.2203@gmail.com,1,1,,,,新宿区,13104,高田馬場,2-1-76ゆう文ビル3階,,1,,1,1,,,,9:30~14:00,15:00~19:00,9:30~14:00,15:00~19:00,9:30~14:00,15:00~19:00,9:30~14:00,15:00~19:00,9:30~14:00,15:00~19:00,9:00~13:00,14:00~17:00,9:00~13:00,,,,高田馬場2-1-76ゆう文ビル3階,35.71176,139.70982
わせだ耳鼻咽喉科,,162-0045,web予約,https://waseda-jibika.jp,1,1,,1,,新宿区,13104,馬場下町,62-18 ,早稲田武蔵野ビル2F,,,,,,,,,13:00~14:00,,13:00~14:00,,,,13:00~14:00,,13:00~14:00,12:00~13:00,,,,,,馬場下町62-18 早稲田武蔵野ビル2F,35.70654,139.71954
医療法人社団ききょう会　花畑クリニック,,121-0073,03-5851-0057,,,1,,,,足立区,13121,六町,1-13-2　,サングランデ六町,1,,1,1,1,1,,9:00~12:00,14:00~18:00,9:00~12:00,14:00~18:00,9:00~12:00,14:00~18:00,9:00~12:00,14:00~18:00,9:00~12:00,14:00~18:00,,,,,,,六町1-13-2　サングランデ六町,35.78352,139.8222
大生医院,,192-0902,042-622-4769,,,1,,1,,八王子市,13201,万町,Jan-82,,1,,,1,1,1,,9:00~11:30,14:45~17:15,9:00~11:30,,9:00~11:30,14:45~17:15,9:00~11:30,14:45~17:15,9:00~11:30,14:45~17:15,9:00~11:45,,,,,,万町82-1,35.65207,139.33272
医療法人社団桜陽緑会水谷医院,,189-0013,042-390-5522,,,1,1,1,1,東村山市,13213,栄町,1-13-1,,1,,1,,1,1,,,12:00~14:00,,,,12:00~14:00,,,,,,,,,日本,1,栄町1-13-1,35.74943,139.4758
公益財団法人がん研究会有明病院,,135-8550,03-3520-0111,,,1,,,,江東区,13108,有明三丁目,８番31号,,1,1,,1,,,,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,9:00~12:00,,,,,,,有明三丁目８番31号,35.63501,139.79608
独立行政法人地域医療機能推進機構 東京山手メディカルセンター,,169-0073,03-3364-0251,,1,1,,,,新宿区,13104,百人町,3-22-1,,1,1,,1,,,,9:00~12:00,12:00~16:00,9:00~12:00,12:00~16:00,9:00~12:00,12:00~16:00,9:00~12:00,12:00~16:00,9:00~12:00,12:00~16:00,,,,,,1,百人町3-22-1,35.70481,139.69823
医療法人社団昭徳会 師田こども内科クリニック,,121-0801,03-3897-7320,,1,1,1,1,1,足立区,13121,東伊興,2003/2/7,,,,1,1,,1,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~13:00,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,,,,,東伊興3-2-7,35.80521,139.78819
医療法人社団惠星会花岡耳鼻咽喉科医院,,174-0063,03-5392-1086,,1,1,,1,,板橋区,13119,前野町,6-27-6,,,,1,1,,,,10:00~12:00,15:00~17:00,10:00~12:00,15:00~17:00,10:00~12:00,15:00~17:00,,,10:00~12:00,15:00~17:00,10:00~12:00,,,,,,前野町6-27-6,35.76681,139.68427
くろす内科クリニック,,111-0022,03-3872-0298,,1,1,1,1,1,台東区,13106,清川,2002/8/11,,1,,1,1,1,1,,8:30~9:30,2:45~3:45,8:30~9:30,2:45~3:45,8:30~9:30,2:45~3:45,,,8:30~9:30,2:45~3:45,8:30~9:30,,,,無。本邦外・邦人台東区民⇒かりつけ医から台東区臨時PCRセンターへ予約取付が可能,,清川2-8-11,35.72454,139.80302
黒木整形外科内科クリニック,,124-0021,03-3672-9611,,1,1,1,1,1,葛飾区,13122,細田,3‐29‐15,,1,,1,1,,,,9:00~12:00,14:00~18:00,9:00~12:00,14:00~18:00,9:00~12:00,14:00~18:00,8:00~12:00,14:00~18:00,9:00~12:00,14:00~18:00,9:00~13:00,,,,,,細田3‐29‐15,35.74143,139.87064
ゆう徳丸内科皮膚科,,175-0083,03-6909-7570,,1,1,1,1,1,板橋区,13119,徳丸,2004/10/6,,1,,1,1,1,1,,9:00~13:00,15:30~18:00,9:00~13:00,15:30~18:00,9:00~13:00,15:30~18:00,,,9:00~13:00,15:30~18:00,9:00~13:00,,,,,,徳丸4-10-6,35.77168,139.66551
医療法人社団英親会斎藤クリニック,,156-0045,03-3306-1133,,1,1,1,1,1,世田谷区,13112,桜上水,5-20-11,,1,,1,1,,,,12:00~15:00,18:30~19:30,12:00~15:00,18:30~19:30,,,12:00~15:00,18:30~19:30,12:00~15:00,18:30~19:30,,13:00~14:00,,,,,桜上水5-20-11,35.66711,139.63023
虎の門耳鼻科クリニック,,105-0001,03-3597-8286,,1,1,1,,,港区,13103,虎ノ門,2001/1/25,虎ノ門一丁目ビル6F,1,,1,1,,1,,9:00~10:00,1:00~4:00,9:00~10:00,1:00~4:00,9:00~10:00,1:00~4:00,,1:00~4:00,9:00~10:00,,,,,,,,虎ノ門1-1-25 虎ノ門一丁目ビル6F,35.66849,139.74619
阿蘇医院,,160-0008,03-3351-3224,,,1,,,,新宿区,13104,四谷三栄町,1月5日,,1,,1,1,,1,,,17:30~18:30,,17:30~18:30,,17:30~18:30,,,,17:30~18:30,,,,,無,,四谷三栄町1-5,35.68731,139.72728
保谷北町 かなざわファミリークリニック,,202-0003,042-439-6916,,1,1,,,,西東京市,13229,北町,１-６-１レッツビルディング2階,,1,,,,1,,,9:00~12:00,14:00~18:00,9:00~12:00,14:00~18:00,9:00~12:00,14:00~18:00,9:00~12:00,14:00~18:00,9:00~12:00,14:00~18:00,9:00~12:00,14:00~18:00,,,,,北町１-６-１レッツビルディング2階,35.75334,139.55893
まつばらホームクリニック,,202-0012,042-439-1250,,,1,,,,西東京市,13229,東町,4-14かえで2階B,,1,,1,1,1,1,,,16:00~18:00,,16:00~18:00,,16:00~18:00,,16:00~18:00,,16:00~18:00,,,,,,,東町4-14かえで2階B,35.74627,139.56647
医）斉藤内科呼吸器科,,206-0025,042-373-2522,,,1,,,,多摩市,13224,永山,4-2-6-202,,,,1,1,1,1,,11:30~12:30,17:00~18:00,11:30~12:30,16:30~17:30,11:30~12:30,16:30~17:30,,,,,,,,,,,永山4-2-6-202,35.62096,139.44948
富士クリニック,,200-0014,042-450-6555,,,1,1,,,西東京市,13229,富士町,2004/6/9,,1,,1,1,1,1,,,3:00~4:00,,3:00~4:00,,3:00~4:00,,,,3:00~4:00,,,,,,,富士町４-６-９,35.73024,139.56485
岩田小児科医院,,208-0012,042-562-0871,,1,1,1,1,1,武蔵村山市,13223,緑が丘,1492-50-58,,,,1,1,1,,,11:45~12:15,13:45~14:15,11:45~12:15,13:45~14:15,11:45~12:15,13:45~14:15,,,11:45~12:15,13:45~14:15,11:45~12:15,,,,,,緑が丘1492-50-58,35.74292,139.40791
東久留米駅前耳鼻咽喉科,,203-0053,042-473-3387,,,1,,1,1,東久留米市,13222,本町,３-１-１マロニエヒルズ１階,,1,,1,1,1,1,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,,,9:00~12:00,15:00~18:00,9:00~12:00,,,,,,本町３-１-１マロニエヒルズ１階,35.75834,139.53067
独立行政法人国立病院機構東京病院,,204-8585,042-491-2111,,1,1,1,,,清瀬市,13221,竹丘,2003/1/1,,1,,1,1,,1,,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,,,竹丘３-１-１,35.76425,139.50832
医療法人社団幸睦会　南街診療所,,207-0014,042-561-3321,,,1,,,,東大和市,13220,南街,5-30-7,,,,,,,,,11:30~12:00,,11:30~12:00,,11:30~12:00,,11:30~12:00,,11:30~12:00,,11:30~12:00,,,,,1,南街5-30-7,35.73733,139.43175
一般財団法人ひふみ会まちだ丘の上病院,,195-0064,042-735-3731,,,1,,,,町田市,13209,小野路町,11月1日,,1,,1,1,,1,,,,,,,,,,,,,,,,,,小野路町11-1,35.5915,139.43495
医療法人社団　蛍仁会　東元町内科クリニック,,185-0022,042-324-5688,,,1,,,,国分寺市,13214,東元町,４-１４-１東元町エムビル３０１,,1,,,1,1,1,,,17:45~18:00,12:45~13:00,17:45~18:00,12:45~13:00,,12:45~13:00,17:45~18:00,,17:45~18:00,12:45~13:00,,,,,,東元町４-１４-１東元町エムビル３０１,35.69214,139.48021
成瀬台ホームケアクリニック,,194-0043,090-4730-2405,,1,1,,,,町田市,13209,成瀬台,4-23-13,,1,,1,1,1,1,,,,,,,,,,,,,,,,,1,成瀬台4-23-13,35.55805,139.47849
医療法人社団内山胃腸科,,194-0023,042-728-1371,,1,1,1,,,町田市,13209,旭町,3-24-15,,1,,1,1,,1,,11:30~12:00,,,,11:30~12:00,,11:30~12:00,,,,,,,,,,旭町3-24-15,35.55788,139.44762
カラダとココロのクリニック 西調布院,,182-0035,042-498-0552,,1,1,,,1,調布市,13208,上石原,2-33-2 ,NKビル2-A,1,,1,1,,1,,12:00~13:00,,,,12:00~13:00,,12:00~13:00,,12:00~13:00,,12:00~13:00,,,,,1,上石原2-33-2 NKビル2-A,35.6566,139.53073
石田医院,,183-0034,042-334-2223,,1,1,1,,,府中市,13206,住吉町,2005/1/4,,1,,,,,1,,11:30~12:00,18:00~18:30,11:30~12:00,18:00~18:30,11:30~12:00,18:00~18:30,,,11:30~12:00,18:00~18:30,11:30~12:00,,10:30~11:00,,,,住吉町5-1-4,35.65621,139.45877
深澤内科呼吸器科クリニック,,183-0034,042-366-6600,,,1,,,,府中市,13206,住吉町,４-１８-１２パークウエスト１F,,1,,,,,1,,12:00~12:30,,12:00~12:30,,12:00~12:30,,,,12:00~12:30,,,,,,,,住吉町４-１８-１２パークウエスト１F,35.66061,139.45541
医療法人社団賛佳会日野クリニック,,183-0034,042-330-3600,,1,1,1,1,1,府中市,13206,住吉町,2-15-9,,1,,1,,1,1,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,,,,なし,,住吉町2-15-9,35.65877,139.4581
中村内科クリニック,,183-0031,042-362-2112,,1,1,,,,府中市,13206,西府町,2-12-1西府・ﾒﾃﾞｨｶﾙﾌﾟﾗｻﾞ２F201号,,1,,,,,1,,11:00~12:00,18:00~19:00,11:00~12:00,18:00~19:00,11:00~12:00,18:00~19:00,,,11:00~12:00,18:00~19:00,11:00~13:00,,,,,,西府町2-12-1西府・ﾒﾃﾞｨｶﾙﾌﾟﾗｻﾞ２F201号,35.6739,139.45647
医療法人社団翔和仁誠会あすなろクリニック,,183-0023,042-354-6855,,,1,,1,1,府中市,13206,宮町,１-１００　,ル・シーニュ4階,,,1,1,1,,,9:00~12:00,,9:00~12:00,,9:00~12:00,,9:00~12:00,,9:00~12:00,,9:00~12:00,,,,,1,宮町１-１００　ル・シーニュ4階,35.67123,139.48146
久米医院,,183-0015,042-335-1515,,1,1,1,,1,府中市,13206,清水が丘,2002/3/26,,1,,1,1,1,1,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,,,,,,清水が丘2-3-26,35.66808,139.49561
府中けやきクリニック,,183-0023,042-306-7768,,1,1,,,,府中市,13206,宮町,1丁目22-6　,のぞみビル6階,1,,1,1,1,,,9:00~13:30,13:30~18:00,9:00~9:30,17:00~18:00,9:00~9:30,17:00~18:00,9:00~9:30,17:00~18:00,,17:00~18:00,,,,,,1,宮町1丁目22-6　のぞみビル6階,35.67084,139.48141
かじわら内科泌尿器科クリニック,,206-0812,042-370-8770,,1,1,1,1,1,稲城市,13228,矢野口,1541アーバンシャトル1階,,1,,1,,1,1,,10:00~12:00,17:00~18:00,10:00~12:00,17:00~18:00,10:00~12:00,17:00~18:00,,,10:00~12:00,17:00~18:00,9:00~11:30,,,,,,矢野口1541アーバンシャトル1階,35.63728,139.51414
さとみクリニック,,183-0014,042-340-8688,,1,1,1,1,1,府中市,13206,是政,2-3-4フルブルーム103,,,,1,1,,,,9:00~11:00,15:00~17:00,9:00~11:00,15:00~17:00,9:00~11:00,15:00~17:00,9:00~11:00,,9:00~11:00,15:00~17:00,9:00~11:00,,,,日本語、英語,,是政2-3-4フルブルーム103,35.65877,139.49129
新谷医院,,183-0003,042-361-9419,,,1,1,,,府中市,13206,朝日町,2-30-11,,1,,1,1,,1,,,,,13:00~14:00,,13:00~14:00,,,,13:00~14:00,,,,,,,朝日町2-30-11,35.67754,139.51787
医療法人社団英悟会朝日町クリニック,,183-0003,042-352-5233,,1,1,1,1,1,府中市,13206,"朝日町",2-28-1 ,-101号,1,,1,1,,1,,9:00~12:30,15:00~18:30,9:00~12:30,15:00~18:30,9:00~12:30,,9:00~12:30,15:00~18:30,9:00~12:30,15:00~18:30,9:00~12:30,,,,,,"朝日町2-28-1 -101号",35.67708,139.51837
三鷹さくらクリニック,,181-0002,0422-436-410,,,1,,,,三鷹市,13204,牟礼　,,2002/11/5,1,,,,,1,,,14:30~16:30,,14:30~16:30,,,,14:30~16:30,,,,12:30~14:30,,,,,牟礼　2-11-5,35.68452,139.57918
吉祥寺メディカルクリニック,,180-0004,0422-23-2820,,1,1,1,,,武蔵野市,13203,吉祥寺本町,2-13-4井野ﾋﾞﾙ202号室,,1,,1,,1,1,,12:50~13:50,,12:50~13:50,,,,12:50~13:50,,12:50~13:50,,12:50~13:50,,,,,1,吉祥寺本町2-13-4井野ﾋﾞﾙ202号室,35.70527,139.57712
"医療法人社団　息吹会中じまクリニック",,180-0004,042-221-6251,,1,1,1,1,1,武蔵野市,13203,吉祥寺本町,2-14-5 ,　SAURUS吉祥寺2階 ,1,,,1,1,1,,12:00~13:00,17:00~18:00,12:00~13:00,17:00~18:00,12:00~13:00,17:00~18:00,,,12:00~13:00,17:00~18:00,12:00~13:00,,,,英語,,吉祥寺本町2-14-5 　SAURUS吉祥寺2階 ,35.7067,139.57791
"医療法人社団実穂会　渡辺医院分院",,193-0824,042-673-2110,,1,1,1,1,,八王子市,13201,長房町,340番地12,,1,,1,1,,1,,10:00~12:00,15:00~17:00,10:00~12:00,15:00~17:00,10:00~12:00,15:00~17:00,,,10:00~12:00,15:00~17:00,10:00~12:00,15:00~17:00,,,,,長房町340番地12,35.65852,139.29938
医療法人社団杏愛会耳鼻咽喉科松田クリニック,,190-0022,042‐526-2130,,,1,,,,立川市,13202,錦町,2‐5‐27レジデンスカスヤ1階,,,,,,,,,12:45~13:15,18:15~18:45,12:45~13:15,18:15~18:45,,18:15~18:45,12:45~13:15,18:15~18:45,12:45~13:15,18:15~18:45,13:00~13:30,,,,,1,錦町2‐5‐27レジデンスカスヤ1階,35.69378,139.41504
たろうクリニック葛西,,134-0084,03-6808-9059,,,1,,,,江戸川区,13123,東葛西,"6-4-3第3ロイヤルシラコビル201号",,1,,,,1,1,,,,,,,,,,,,,,,,,,"東葛西6-4-3第3ロイヤルシラコビル201号",35.66318,139.87451
医療法人社団　望星会　小岩駅前診療所,,133-0057,03-3657-6395,,1,1,1,1,1,江戸川区,13123,西小岩,"1丁目30番4号",,1,,1,1,1,1,,9:00~12:00,,9:00~12:00,,9:00~12:00,,9:00~12:00,,9:00~12:00,,9:00~12:00,,,,英語,,"西小岩1丁目30番4号",35.73565,139.88405
速水医院,,133-0051,03-3672-6759,,1,1,1,1,1,江戸川区,13123,北小岩,"6-47-6",,1,,1,1,1,1,,9:00~12:00,16:00~17:00,9:00~12:00,16:00~17:00,9:00~12:00,16:00~17:00,9:00~11:00,,9:00~12:00,16:00~17:00,9:00~11:00,,,,なし,,"北小岩6-47-6",35.74393,139.88742
小暮医院,,133-0042,03-3653-5347,,1,1,,1,,江戸川区,13123,興宮町,16-13,,,1,1,,1,,,9:00~11:30,4:00~6:00,9:00~11:30,4:00~6:00,9:00~11:30,4:00~6:00,9:00~11:30,,9:00~11:30,4:00~6:00,9:00~11:30,,,,,,興宮町16-13,35.72491,139.8739
世田谷調布　大友内科リウマチ科　千歳烏山院,,157-0062,333056330,,,1,,,,世田谷区,13112,南烏山,４-10-2-ヤスダビル1F,,,,1,1,,,,9:00~12:00,2:00~6:00,9:00~12:00,2:00~6:00,9:00~12:00,2:00~6:00,,,9:00~12:00,2:00~6:00,9:00~12:00,,,,英語,,南烏山４-10-2-ヤスダビル1F,35.66916,139.60168
一之江ファミリークリニック,,132-0024,03-5879-3883,,1,1,1,,,江戸川区,13123,一之江,８-13-9FRONT4-2,,,,1,1,1,,,,,9:00~12:00,14:30~17:30,9:00~12:00,14:30~17:30,9:00~12:00,14:30~17:30,9:00~12:00,14:30~17:30,9:00~12:00,,9:00~12:00,,日本語のみ,,一之江８-13-9FRONT4-2,35.68559,139.88353
鈴木クリニック,,132-0025,03-3652-1225,,,1,,1,,江戸川区,13123,松江,3丁目15-4,,1,,1,,1,1,,12:00~12:30,,12:00~12:30,,12:00~12:30,,,,12:00~12:30,,12:00~12:30,,,,,,松江3丁目15-4,35.69643,139.87019
医療法人社団玲瓏会　金町中央病院,,125-8588,03-3607-2001,,1,1,,,,葛飾区,13122,金町,2001/9/1,,1,,,1,,,,9:30~11:00,13:30~16:00,9:30~11:00,13:30~16:00,9:30~11:00,13:30~16:00,9:30~11:00,13:30~16:00,9:30~11:00,13:30~16:00,9:30~11:00,13:30~16:00,,,,,金町1-9-1,35.76414,139.87032
新小岩耳鼻科クリニック,,124-0024,03-3651-8733,,1,1,1,1,1,葛飾区,13122,新小岩,１-４０-８山田ビル2階,,,,1,1,,,,9:30~12:30,15:00~18:30,9:30~12:30,15:00~18:30,,,9:30~12:30,15:00~18:30,9:30~12:30,15:00~18:30,9:15~12:30,,,,english,,新小岩１-４０-８山田ビル2階,35.71522,139.85957
なかむら耳鼻科小児科,,125-0052,03-5648-8741,,1,1,,1,1,葛飾区,13122,柴又,1-41-11　,1階,,,1,1,,,,9:00~12:00,14:30~18:00,9:00~12:30,14:30~18:00,9:00~12:30,14:30~17:00,,,9:00~12:30,14:30~18:00,9:00~12:30,,,,,,柴又1-41-11　1階,35.75526,139.87376
渋江片根医院,,124-0012,03-3697-1783,,,1,,,,葛飾区,13122,東四つ木,4-35-18,,,,,,,,,9:00~12:00,3:30~5:00,9:00~12:00,3:30~5:00,9:00~12:00,3:30~5:00,,,9:00~12:00,3:30~5:00,9:00~12:00,,,,,,東四つ木4-35-18,35.73344,139.84081
お花茶屋こどもクリニック,,124-0005,03-5654-9462,,1,1,,2,,葛飾区,13122,宝町,2-34-13-115,,1,,1,1,,,,11:00~12:00,16:00~17:00,11:00~12:00,16:00~17:00,,,11:00~12:00,16:00~17:00,11:00~12:00,,11:00~12:00,,,,,,宝町2-34-13-115,35.74648,139.83949
江北内科クリニック,,123-0872,03-5837-2522,,1,1,1,1,,足立区,13121,江北三丁目,"3-1",,1,,1,1,,1,,12:00~13:00,15:00~17:30,12:00~13:00,15:00~17:30,,,12:00~13:00,15:00~17:30,12:00~13:00,15:00~17:30,12:00~13:00,,,,中国語可,,"江北三丁目3-1",35.77145,139.76254
葛飾バンビこどもクリニック,,124-0006,03-6657-7752,,1,1,,2,,葛飾区,13122,堀切,3-35-10 ,　4階,,,,,,,,9:00~10:00,18:00~18:30,,,9:00~10:00,18:00~18:30,9:00~10:00,18:00~18:30,9:00~10:00,18:00~18:30,9:00~10:00,,9:00~10:00,,,,堀切3-35-10 　4階,35.74349,139.83459
"医療法人社団　博和三樹会しみず医院",,121-0823,03-5691-1212,,1,1,,1,2,足立区,13121,伊興,3-18-21,,1,1,1,1,1,1,,11:00~12:30,14:00~14:30,11:00~12:30,14:00~14:30,11:00~12:30,14:00~14:30,11:00~12:30,,11:00~12:30,14:00~14:30,,,,,英語,,伊興3-18-21,35.79565,139.78793
よしだ耳鼻咽喉科クリニック,,120-0015,03-3840-1222,,1,1,,1,1,足立区,13121,足立,4-41-5レーベン五反野ルナタワー202,,1,,1,1,,1,,12:30~13:30,,12:30~13:30,,12:30~13:30,,,,12:30~13:30,,,,,,外国語対応はしていません,,足立4-41-5レーベン五反野ルナタワー202,35.76611,139.80852
竹の塚せいわ循環器・内科クリニック,,121-0813,03-5831-6363,,,1,,,,足立区,13121,竹の塚,6-21-1ライズビル1F,,,,,,,,,,12:30~13:30,,12:30~13:30,,12:30~13:30,,,,12:30~13:30,,12:30~13:30,,,,,竹の塚6-21-1ライズビル1F,35.79613,139.79411
宮本外科内科,,179-0082,03-3933-5656,,1,1,,,,練馬区,13120,錦　,,2002/8/5,,,1,1,,,,,13:00~14:00,,,,,,13:00~14:00,,,,,,,,,錦　2-8-5,35.76007,139.67015
医療法人社団浩誠会臼井医院,,176-0024,03-3970-0210,,1,1,,,,練馬区,13120,中村,2-16-8,,1,,1,,1,1,,9:00~10:00,14:00~14:30,9:00~10:00,,,16:00~17:00,,,9:00~10:00,,,,,,,,中村2-16-8,35.73306,139.64297
